Usage_Hours,Engine_Temperature,Tire_Pressure,Oil_Quality,Battery_Voltage,Vibration_Level,Maintenance_Cost,Vehicle_Type,Brake_Condition,Anomalies_Detected,Failure_History,Maintenance_Required
5930.8,81.5,31.8,40.8,14.1,Missing,$565.79,Car,G,0,0,0
14285.4,85.8,35.6,69.5,13.1,1.13,829.25,Truck,G,0,0,0
11113.9,87.4,32.3,14.7,13.2,2.12,1998.63,Truck,gud,0,1,1
9180.5,87.0,33.0,77.7,12.4,0.62,$346.93,Car,Bad,0,0,0
2762.3,80.3,28.5,28.6,12.5,3.46,$187.77,Car,ok,0,0,1
2761.9,78.9,38.8,18.6,14.0,1.31,242.19,Car,gud,0,0,0
1342.2,185.9 °F,Missing,91.1,13.3,4.03,1549.8,Truck,Good,0,0,0
13059.6,65.3,38.9,60.2,14.8,2.01,1205.18,Truck,Fair,0,0,0
9216.2,141.07999999999998 °F,32.9,54.1,14.7,0.8,$306.84,Car,Poor,0,0,0
10767.1,91.5,36.7,65.5,13.4,1.33,344.72,Truck,Good,0,0,0
798.5,91.7,45.0,99.5,14.5,1.52,254.4,Car,Fair,0,0,0
14563.7,217.76000000000002 °F,36.5,27.3,13.0,Missing,$212.9,Car,gud,0,0,1
12570.4,86.2,29.2,29.0,13.7,0.91,278.63,Car,Good,0,0,1
3578.9,72.1,Missing,73.6,14.8,1.47,$1758.28,Bus,G,0,0,0
3136.5,60.9,30.5,84.3,13.1,1.31,425.69,Car,Good,0,0,0
3159.4,76.6,41.6,94.3,14.5,7.31,1854.6,Truck,Bad,0,0,0
4911.5,96.3,37.0,82.0,14.6,1.47,$2881.82,Bus,P,0,0,0
8109.0,111.6,27.1,Missing,13.5,3.37,$411.14,Car,Good,0,0,1
6763.2,90.8,41.5,74.3,11.8,1.27,$147.2,Car,F,0,0,0
4722.8,71.8,37.8,58.0,16.0,0.69,540.37,Car,Poor,0,0,0
9371.9,170.24 °F,35.9,69.0,15.0,1.5,2508.23,Bus,ok,0,0,0
2522.7,77.3,42.6,17.0,12.7,Missing,349.76,Car,Fair,0,0,0
4736.1,83.9,33.9,68.1,14.2,1.33,1836.19,Truck,gud,0,1,0
5812.2,106.8,41.8,38.6,14.4,1.92,566.34,Car,G,0,0,1
7113.0,226.4 °F,24.0,58.5,11.3,1.23,$1819.42,Bus,G,0,0,1
11885.1,189.32000000000002 °F,31.3,22.1,15.6,0.82,$377.11,Car,Poor,0,0,1
3395.3,92.7,39.0,59.4,13.9,2.44,$1621.7,Truck,Good,0,0,0
7956.4,172.4 °F,43.4,69.9,13.8,2.36,822.99,Truck,Poor,0,1,0
9090.0,64.4,28.9,28.0,14.4,3.15,347.53,Car,F,0,0,0
1173.5,242.24 °F,32.9,18.8,14.8,2.02,$885.76,Bus,Poor,1,0,1
9309.4,55.2,35.8,43.9,12.8,2.12,761.49,Truck,Bad,0,0,0
2972.6,144.5 °F,30.3,50.9,12.7,1.63,$564.51,Car,Poor,0,1,0
1443.2,116.9,33.7,67.5,12.0,2.43,$270.17,Car,Bad,0,0,1
14258.8,90.2,42.9,26.0,12.3,Missing,$458.07,Car,F,0,0,1
14501.7,163.57999999999998 °F,29.8,52.3,12.4,3.47,491.37,Car,P,0,0,1
12221.8,100.2,33.8,92.5,12.5,1.68,$254.41,Car,F,0,0,0
4916.9,101.6,36.4,47.4,14.4,2.24,233.58,Car,Good,0,0,0
1916.2,158.0 °F,37.3,25.5,13.5,1.55,485.59,Car,F,0,0,0
10421.4,82.0,30.7,85.7,Missing,1.28,439.56,Truck,Bad,0,0,0
6882.2,217.57999999999998 °F,34.1,48.1,13.9,2.1,974.96,Truck,G,0,0,1
2269.6,171.86 °F,33.6,66.7,14.9,1.64,$2836.91,Bus,G,0,0,0
7680.1,201.56 °F,36.5,89.3,15.2,1.56,$1720.91,Truck,F,0,0,0
998.6,232.52 °F,29.1,66.0,14.9,1.06,$1383.6,Truck,gud,0,1,1
13685.1,129.38 °F,41.4,85.9,15.2,1.11,$415.29,Car,Good,0,0,0
4252.3,84.9,36.3,Missing,11.9,3.47,809.09,Bus,gud,1,0,1
10106.6,93.9,40.3,83.3,13.3,2.29,$2694.74,Bus,ok,0,0,1
5019.8,63.1,32.1,51.1,13.4,Missing,$114.73,Car,ok,0,0,0
8041.0,82.1,28.9,98.2,13.0,1.7,$469.29,Car,P,0,0,0
8427.3,222.26000000000002 °F,30.2,58.8,15.9,4.5,582.5,Car,gud,0,0,1
3180.4,79.4,38.5,71.4,14.0,0.84,$163.51,Car,F,0,0,0
14559.0,67.7,32.8,27.3,12.2,2.62,179.94,Car,gud,0,0,1
11739.4,107.0,26.9,47.1,16.8,1.5,139.42,Car,gud,0,0,1
14122.7,96.7,35.9,51.9,12.5,Missing,568.43,Truck,F,0,1,1
13475.0,89.0,33.4,84.4,13.9,1.33,1550.85,Truck,G,0,0,0
9169.5,88.5,Missing,79.6,13.4,4.28,$2701.06,Bus,Poor,0,0,1
13867.2,221.72000000000003 °F,26.4,58.8,14.1,3.06,436.44,Car,Poor,0,0,1
1783.1,94.4,27.5,82.5,15.3,0.61,$1102.05,Truck,P,0,0,0
3341.8,99.7,32.3,83.0,14.0,0.59,1698.52,Truck,F,0,0,0
1155.8,175.28 °F,30.4,69.4,14.2,1.47,$1515.06,Truck,gud,0,0,0
5217.3,61.2,32.2,94.8,16.4,2.03,474.37,Car,P,0,0,0
6135.8,210.74 °F,39.2,87.1,14.2,6.73,$362.88,Car,G,0,0,0
4434.6,106.5,29.7,29.6,14.4,1.15,419.84,Car,G,0,0,1
12516.7,86.6,30.5,41.1,12.6,1.17,477.39,Car,gud,0,0,1
5672.9,103.3,32.4,21.4,11.6,2.3,$1430.69,Truck,P,0,0,1
4573.6,85.0,30.2,48.2,14.3,1.71,505.43,Car,Fair,1,0,0
8369.1,191.48 °F,33.9,40.6,10.4,2.87,2286.9,Bus,Good,0,0,0
2543.4,116.3,40.1,80.6,11.7,4.2,1296.77,Bus,G,0,1,1
12131.9,85.6,33.6,82.4,11.5,2.78,928.25,Truck,gud,0,0,0
1581.0,84.7,36.3,51.1,12.6,2.12,$1350.43,Truck,F,0,0,0
14809.9,143.60000000000002 °F,23.4,55.9,13.9,1.49,501.6,Car,Fair,0,0,0
11697.5,100.4,35.4,Missing,12.4,1.71,$199.03,Car,P,0,1,1
3381.4,79.4,42.4,57.7,15.2,4.22,250.4,Car,Poor,0,0,0
580.1,197.96 °F,35.5,93.9,13.2,0.96,$303.28,Car,gud,0,0,0
12324.2,185.54 °F,35.6,85.2,Missing,1.02,$690.29,Bus,gud,0,0,0
10749.4,83.3,36.4,50.7,11.8,0.9,$986.18,Truck,P,0,0,0
11070.6,88.2,42.8,94.2,12.5,1.05,246.82,Car,ok,0,0,0
11683.4,192.92000000000002 °F,41.8,80.6,12.3,1.6,1890.22,Truck,Good,0,0,0
1573.6,107.6,29.9,96.2,13.5,1.59,$209.01,Car,Good,0,0,0
5697.8,112.8,41.0,28.8,14.2,1.31,$2305.27,Bus,gud,1,0,1
2180.1,99.8,41.9,72.2,Missing,1.93,$366.29,Car,F,0,0,0
13015.0,109.1,26.4,92.9,11.8,0.98,$335.65,Car,gud,0,0,1
